epoch,nmi,average_loss
1,,6.305670766182888
2,0.43250119015644756,5.767908716398011
3,0.5776766917124483,5.746649301591724
4,0.5888986522095623,5.6725258047198075
5,0.5670129900532109,5.492773451922853
6,0.6036187244372594,5.5008124157234475
7,0.6027771334234919,5.3781252103577915
8,0.5379008115023197,5.47401104149995
9,0.47664033072718404,5.432161756013156
10,0.3838864620599195,5.399122682618506
11,0.38128981124611616,5.379367157264992
12,0.5803520570863115,5.436397208107842
13,0.5276464199432243,5.338080923253126
14,0.5222177523576249,5.351340963026133
15,0.522965540913006,5.396198907506809
16,0.558409402970494,5.347817383675909
17,0.5401012531343723,5.372364971372816
18,0.6073799914685863,5.36819158365697
19,0.6039399624965871,5.354811070877829
20,0.6353725833434658,5.342706843168156
